Feature,RMSE
target_c_beans,7.86080194082331
target_c_cabbage,14.583646874928856
target_c_carrots,13.681138106806015
target_c_eggs,1.3963204588792533
target_c_meat_beef_chops,42.88266089835204
target_c_meat_chicken_whole,26.571348816437343
target_c_meat_pork,77.29063969398605
target_c_onions,46.739724178834244
target_c_potatoes,16.905017323567048
target_c_rice,5.123565994397454
target_c_tomatoes,29.034149895684095
target_h_beans,7.6112967520399755
target_h_cabbage,9.831958936944224
target_h_carrots,13.237595731154899
target_h_eggs,0.9770328006046411
target_h_meat_beef_chops,39.918093164423446
target_h_meat_chicken_whole,25.44499933720668
target_h_meat_pork,77.70886225792246
target_h_onions,43.31014942813879
target_h_potatoes,16.278642415987512
target_h_rice,1.5641087131587703
target_h_tomatoes,20.927551277432052
target_l_beans,6.34996190368315
target_l_cabbage,7.4035567878808894
target_l_carrots,13.989584978350983
target_l_eggs,1.1715666666930897
target_l_meat_beef_chops,40.098674852535886
target_l_meat_chicken_whole,23.835090868476996
target_l_meat_pork,72.6554649849839
target_l_onions,32.62698506594231
target_l_potatoes,13.638061351633405
target_l_rice,3.6140064943278887
target_l_tomatoes,17.93889623634884
target_o_beans,6.631019839261248
target_o_cabbage,5.05989116099687
target_o_carrots,8.239732701190833
target_o_eggs,0.7868801337522425
target_o_meat_beef_chops,38.35193632144099
target_o_meat_chicken_whole,24.098881374777662
target_o_meat_pork,75.17816129835117
target_o_onions,34.722841910379266
target_o_potatoes,14.47249236316483
target_o_rice,1.309075485726037
target_o_tomatoes,15.018817145927887
